29-Dec-2021,06:45,"23,028.64",-6.08,-0.03%,"23,035.03","23,020.25","23,044.72","7,466,189"
29-Dec-2021,06:40,"23,034.72",-1.94,-0.01%,"23,036.81","23,028.02","23,041.58","13,962,519"
29-Dec-2021,06:35,"23,036.66",+5.01,+0.02%,"23,031.65","23,022.69","23,037.97","15,574,745"
29-Dec-2021,06:30,"23,031.65",-12.66,-0.05%,"23,044.72","23,030.79","23,047.95","10,436,087"
29-Dec-2021,06:25,"23,044.31",+0.54,+0.00%,"23,043.77","23,035.56","23,050.11","8,735,556"
29-Dec-2021,06:20,"23,043.77",-3.96,-0.02%,"23,047.02","23,040.99","23,052.57","31,474,920"
29-Dec-2021,06:15,"23,047.73",+2.02,+0.01%,"23,045.60","23,038.39","23,052.41","5,578,741"
29-Dec-2021,06:10,"23,045.71",-13.37,-0.06%,"23,057.01","23,041.02","23,061.01","7,156,419"
29-Dec-2021,06:05,"23,059.08",-10.01,-0.04%,"23,069.26","23,057.66","23,075.47","8,425,049"
29-Dec-2021,06:00,"23,069.09",-14.83,-0.06%,"23,083.41","23,063.35","23,084.12","5,044,811"
29-Dec-2021,05:55,"23,083.92",-13.65,-0.06%,"23,097.23","23,078.27","23,098.02","6,096,464"
29-Dec-2021,05:50,"23,097.57",+21.42,+0.09%,"23,075.44","23,073.62","23,100.19","8,194,142"
29-Dec-2021,05:45,"23,076.15",+0.99,+0.00%,"23,074.17","23,070.99","23,081.89","5,281,258"
29-Dec-2021,05:40,"23,075.16",+18.85,+0.08%,"23,054.91","23,054.39","23,078.63","5,711,675"
29-Dec-2021,05:35,"23,056.31",+21.07,+0.09%,"23,036.33","23,032.09","23,061.34","11,150,652"
29-Dec-2021,05:30,"23,035.24",-24.65,-0.11%,"23,058.18","23,035.24","23,060.13","6,707,560"
29-Dec-2021,05:25,"23,059.89",-8.26,-0.04%,"23,068.43","23,056.48","23,074.88","8,529,656"
29-Dec-2021,05:20,"23,068.15",+5.40,+0.02%,"23,062.75","23,057.11","23,070.76","6,309,681"
29-Dec-2021,05:15,"23,062.75",+5.18,+0.02%,"23,058.19","23,053.51","23,067.86","5,835,108"
29-Dec-2021,05:10,"23,057.57",-17.62,-0.08%,"23,072.99","23,056.70","23,074.61","6,323,729"
29-Dec-2021,05:05,"23,075.19",-0.60,-0.00%,"23,073.29","23,068.33","23,081.24","8,452,581"
29-Dec-2021,04:10,"23,075.79",0.00,0.00%,"23,075.79","23,075.79","23,075.79",0
29-Dec-2021,04:05,"23,075.79",-0.16,-0.00%,"23,075.79","23,075.79","23,075.79","1,200"
29-Dec-2021,04:00,"23,075.95",-0.59,-0.00%,"23,074.86","23,068.89","23,080.65","3,529,326"
29-Dec-2021,03:55,"23,076.54",+5.79,+0.03%,"23,070.75","23,067.86","23,084.17","9,450,475"
29-Dec-2021,03:50,"23,070.75",+5.20,+0.02%,"23,066.20","23,061.81","23,080.74","4,710,016"
29-Dec-2021,03:45,"23,065.55",-13.06,-0.06%,"23,078.12","23,058.74","23,082.27","8,655,583"
29-Dec-2021,03:40,"23,078.61",-14.17,-0.06%,"23,093.53","23,075.93","23,093.53","13,869,997"
29-Dec-2021,03:35,"23,092.78",+0.90,+0.00%,"23,094.10","23,090.90","23,107.84","9,300,020"
29-Dec-2021,03:30,"23,091.88",-2.79,-0.01%,"23,096.95","23,085.95","23,099.76","9,451,258"
29-Dec-2021,03:25,"23,094.67",-16.97,-0.07%,"23,115.96","23,093.30","23,116.05","9,497,362"
